Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
 37.109   -28.0  37.109   -83.4
 37.305  -110.2  37.305  -165.0
 37.500  -158.1  37.500  -211.9
 37.695  -227.4  37.695  -280.8
 37.891  -274.8  37.891  -320.1
 38.086  -329.2  38.086  -375.2
 38.281  -371.9  38.281  -406.3
 38.477  -395.1  38.477  -426.7
 38.672  -426.8  38.672  -447.2
 38.867  -473.9  38.867  -494.7
 39.062  -493.5  39.062  -499.9
 39.258  -499.9  39.258  -499.9
 39.453  -499.9  39.453  -499.9
 39.648  -499.9  39.648  -499.9
 39.844  -499.9  39.844  -495.2
 40.039  -487.4  40.039  -463.6
 40.234  -472.4  40.234  -442.6
 40.430  -432.7  40.430  -396.1
 40.625  -401.0  40.625  -360.7
 40.820  -344.9  40.820  -292.9
 41.016  -300.1  41.016  -249.2
 41.211  -225.9  41.211  -173.7
 41.406  -184.8  41.406  -134.6
 41.602  -100.1  41.602   -45.7
 41.797   -55.4  41.797    -4.4
 41.992    28.0  41.992    79.1
 42.188    72.8  42.188   117.8
 42.383   156.9  42.383   199.4
 42.578   195.8  42.578   235.9
 42.773   253.6  42.773   295.4
 42.969   295.0  42.969   328.8
 43.164   352.7  43.164   378.4
 43.359   377.3  43.359   398.7
 43.555   416.6  43.555   437.4
 43.750   437.1  43.750   450.2
 43.945   463.7  43.945   470.5
 44.141   475.0  44.141   476.6
 44.336   482.9  44.336   479.5
 44.531   483.1  44.531   475.9
 44.727   476.9  44.727   462.0
 44.922   466.2  44.922   446.7
 45.117   448.0  45.117   420.9
 45.312   420.9  45.312   390.2
 45.508   383.4  45.508   343.1
 45.703   357.1  45.703   317.9
 45.898   301.3  45.898   251.7
 46.094   254.6  46.094   204.1
 46.289   197.5  46.289   144.1
 46.484   144.4  46.484    97.3
 46.680    74.7  46.680    17.7
 46.875    25.6  46.875   -29.6
 47.070   -56.1  47.070  -112.8
 47.266  -108.8  47.266  -163.5
 47.461  -168.2  47.461  -223.6
 47.656  -218.1  47.656  -265.4
 47.852  -288.5  47.852  -329.4
 48.047  -318.3  48.047  -360.0
 48.242  -375.0  48.242  -411.6
 48.438  -407.1  48.438  -439.2
 48.633  -452.4  48.633  -477.6
 48.828  -472.6  48.828  -484.9
 49.023  -494.5  49.023  -499.9
 49.219  -499.9  49.219  -499.9
 49.414  -499.9  49.414  -499.9
 49.609  -499.9  49.609  -499.9
 49.805  -499.9  49.805  -489.1
 50.000  -490.1  50.000  -465.5
 50.195  -457.2  50.195  -424.8
 50.391  -429.2  50.391  -391.2
 50.586  -383.6  50.586  -338.5
 50.781  -345.3  50.781  -299.3
 50.977  -280.9  50.977  -231.4
 51.172  -238.6  51.172  -182.7
 51.367  -165.1  51.367  -113.0
 51.562  -114.9  51.562   -59.8
 51.758   -32.5  51.758    18.9
 51.953     3.5  51.953    58.4
 52.148    83.0  52.148   142.3
 52.344   133.4  52.344   181.2
 52.539   211.3  52.539   250.8
 52.734   245.1  52.734   284.0
 52.930   302.8  52.930   331.1
 53.125   333.5  53.125   361.5
 53.320   382.1  53.320   407.5
 53.516   408.3  53.516   428.0
 53.711   442.7  53.711   455.9
 53.906   460.9  53.906   466.8
 54.102   477.3  54.102   476.3
 54.297   478.8  54.297   478.0
 54.492   483.1  54.492   473.7
 54.688   479.2  54.688   466.1
 54.883   465.6  54.883   445.5
 55.078   450.2  55.078   425.1
 55.273   424.2  55.273   390.2
 55.469   393.2  55.469   359.4
 55.664   350.3  55.664   306.6
 55.859   315.1  55.859   272.1
 56.055   253.9  56.055   206.3
 56.250   212.6  56.250   163.6
 56.445   145.7  56.445    89.6
 56.641    91.4  56.641    32.7
 56.836    14.5  56.836   -47.1
 57.031   -33.8  57.031   -90.1
 57.227  -113.1  57.227  -166.8
 57.422  -157.8  57.422  -209.4
 57.617  -219.4  57.617  -272.1
 57.812  -265.4  57.812  -308.6
 58.008  -338.1  58.008  -373.2
 58.203  -369.7  58.203  -399.1
 58.398  -414.3  58.398  -441.6
 58.594  -443.1  58.594  -465.3
 58.789  -474.9  58.789  -491.8
 58.984  -492.3  58.984  -499.9
 59.180  -499.9  59.180  -499.9
 59.375  -499.9  59.375  -499.9
 59.570  -499.9  59.570  -499.9
 59.766  -499.9  59.766  -496.2
 59.961  -489.2  59.961  -467.1
 60.156  -471.8  60.156  -443.0
 60.352  -430.7  60.352  -394.0
 60.547  -407.9  60.547  -370.3
 60.742  -344.2  60.742  -294.8
 60.938  -298.4  60.938  -243.0
 61.133  -238.5  61.133  -189.0
 61.328  -195.1  61.328  -144.8
 61.523  -111.5  61.523   -61.7
 61.719   -62.3  61.719    -9.8
 61.914    17.4  61.914    68.7
 62.109    72.3  62.109   121.6
 62.305   138.8  62.305   184.9
 62.500   183.3  62.500   230.4
 62.695   257.0  62.695   290.4
 62.891   286.2  62.891   328.3
 63.086   342.1  63.086   370.1
 63.281   375.5  63.281   396.7
 63.477   416.3  63.477   432.9
 63.672   431.5  63.672   445.8
 63.867   457.3  63.867   466.7
 64.062   470.8  64.062   474.7
 64.258   482.3  64.258   478.8
 64.453   481.2  64.453   474.3
 64.648   477.1  64.648   462.9
 64.844   468.2  64.844   451.5
 65.039   449.0  65.039   422.3
 65.234   430.6  65.234   402.9
 65.430   397.9  65.430   358.2
 65.625   361.6  65.625   321.7
 65.820   308.5  65.820   260.2
 66.016   267.3  66.016   221.4
 66.211   201.5  66.211   147.0
 66.406   147.7  66.406    92.3
 66.602    79.4  66.602    19.8
 66.797    35.1  66.797   -17.1
 66.992   -41.8  66.992   -96.1
 67.188   -96.4  67.188  -149.0
 67.383  -168.4  67.383  -213.7
 67.578  -212.8  67.578  -258.2
 67.773  -287.3  67.773  -332.3
 67.969  -319.5  67.969  -354.6
 68.164  -376.5  68.164  -411.5
 68.359  -408.3  68.359  -431.7
 68.555  -446.2  68.555  -470.3
 68.750  -464.9  68.750  -482.8
 68.945  -497.2  68.945  -499.9
 69.141  -499.9  69.141  -499.9
 69.336  -499.9  69.336  -499.9
 69.531  -499.9  69.531  -499.9
 69.727  -499.9  69.727  -489.6
 69.922  -498.4  69.922  -473.0
 70.117  -467.4  70.117  -436.8
 70.312  -437.8  70.312  -403.4
 70.508  -396.0  70.508  -353.0
 70.703  -362.7  70.703  -317.1
 70.898  -301.1  70.898  -252.1
 71.094  -250.8  71.094  -201.8
 71.289  -174.2  71.289  -119.2
 71.484  -139.0  71.484   -87.2
 71.680   -60.0  71.680    -6.0
 71.875     0.3  71.875    51.6
 72.070    74.4  72.070   126.2
 72.266   124.5  72.266   176.2
 72.461   193.1  72.461   235.4
 72.656   233.8  72.656   277.8
 72.852   298.4  72.852   330.5
 73.047   325.3  73.047   358.8
 73.242   378.4  73.242   406.0
 73.438   408.4  73.438   426.6
 73.633   438.0  73.633   450.9
 73.828   454.1  73.828   463.1
 74.023   473.0  74.023   475.3
 74.219   477.0  74.219   477.6
 74.414   482.0  74.414   474.9
 74.609   478.9  74.609   469.1
 74.805   468.4  74.805   448.7
 75.000   454.7  75.000   431.5
 75.195   429.2  75.195   393.7
 75.391   405.4  75.391   371.0
 75.586   362.2  75.586   316.5
 75.781   321.1  75.781   280.7
 75.977   260.3  75.977   209.0
 76.172   228.0  76.172   176.7
 76.367   157.7  76.367    95.8
 76.562   102.4  76.562    51.2
 76.758    19.7  76.758   -40.4
 76.953   -21.5  76.953   -75.2
 77.148   -93.2  77.148  -148.2
 77.344  -144.6  77.344  -193.5
 77.539  -206.7  77.539  -255.8
 77.734  -257.7  77.734  -294.6
 77.930  -316.8  77.930  -358.0
 78.125  -365.6  78.125  -398.5
 78.320  -408.8  78.320  -438.9
 78.516  -435.8  78.516  -459.8
 78.711  -471.9  78.711  -492.1
 78.906  -490.5  78.906  -499.9
 79.102  -499.9  79.102  -499.9
 79.297  -499.9  79.297  -499.9
 79.492  -499.9  79.492  -499.9
 79.688  -499.9  79.688  -499.1
 79.883  -496.3  79.883  -472.2
 80.078  -479.7  80.078  -450.0
 80.273  -444.2  80.273  -410.0
 80.469  -415.5  80.469  -374.4
 80.664  -354.1  80.664  -309.6
 80.859  -322.5  80.859  -273.8
 81.055  -254.6  81.055  -196.9
 81.250  -205.0  81.250  -153.8
 81.445  -129.0  81.445   -70.6
 81.641   -76.0  81.641   -20.1
 81.836     5.6  81.836    57.3
 82.031    58.1  82.031   106.8
 82.227   117.6  82.227   168.9
 82.422   171.7  82.422   217.2
 82.617   236.1  82.617   281.3
 82.812   276.0  82.812   309.5
 83.008   330.7  83.008   361.9
 83.203   360.9  83.203   385.5
 83.398   404.4  83.398   424.6
 83.594   426.2  83.594   440.4
 83.789   455.2  83.789   463.9
 83.984   466.3  83.984   471.2
 84.180   478.4  84.180   478.7
 84.375   482.8  84.375   476.6
 84.570   478.8  84.570   465.8
 84.766   473.6  84.766   455.7
 84.961   454.7  84.961   428.0
 85.156   438.1  85.156   410.9
 85.352   404.2  85.352   364.9
 85.547   371.4  85.547   331.4
 85.742   320.3  85.742   276.4
 85.938   284.4  85.938   239.8
 86.133   227.4  86.133   165.6
 86.328   180.8  86.328   127.3
 86.523    97.8  86.523    40.0
 86.719    51.0  86.719     2.0
 86.914   -32.7  86.914   -83.4
 87.109   -74.2  87.109  -124.1
 87.305  -140.4  87.305  -199.4
 87.500  -193.7  87.500  -236.7
 87.695  -263.4  87.695  -306.3
 87.891  -300.8  87.891  -338.1
 88.086  -357.4  88.086  -396.9
 88.281  -398.9  88.281  -425.3
 88.477  -438.5  88.477  -462.1
 88.672  -457.1  88.672  -477.5
 88.867  -489.4  88.867  -499.9
 89.062  -499.9  89.062  -499.9
 89.258  -499.9  89.258  -499.9
 89.453  -499.9  89.453  -499.9
 89.648  -499.9  89.648  -499.0
 89.844  -499.9  89.844  -479.3
 90.039  -476.8  90.039  -448.8
 90.234  -455.5  90.234  -420.4
 90.430  -410.4  90.430  -369.1
 90.625  -374.2  90.625  -330.5
 90.820  -311.3  90.820  -262.9
 91.016  -271.2  91.016  -219.1
 91.211  -191.2  91.211  -139.1
 91.406  -149.3  91.406   -93.8
 91.602   -64.1  91.602    -5.4
 91.797   -17.0  91.797    32.9
 91.992    53.2  91.992   104.4
 92.188   113.6  92.188   158.4
 92.383   179.2  92.383   225.5
 92.578   216.7  92.578   257.1
 92.773   288.8  92.773   321.1
 92.969   322.5  92.969   352.3
 93.164   373.2  93.164   396.7
 93.359   395.0  93.359   415.3
 93.555   427.6  93.555   443.5
 93.750   447.5  93.750   461.2
 93.945   470.4  93.945   472.7
 94.141   477.4  94.141   476.8
 94.336   483.9  94.336   476.9
 94.531   481.0  94.531   471.0
 94.727   471.8  94.727   452.2
 94.922   457.8  94.922   434.7
 95.117   431.9  95.117   399.7
 95.312   407.6  95.312   374.9
 95.508   367.7  95.508   326.3
 95.703   341.0  95.703   296.3
 95.898   279.0  95.898   229.5
 96.094   231.2  96.094   178.9
 96.289   164.5  96.289   106.9
 96.484   126.6  96.484    74.4
 96.680    48.9  96.680    -8.3
 96.875   -10.8  96.875   -65.3
 97.070   -82.0  97.070  -140.5
 97.266  -123.2  97.266  -171.2
 97.461  -186.0  97.461  -242.3
 97.656  -251.3  97.656  -291.9
 97.852  -303.2  97.852  -345.6
 98.047  -342.0  98.047  -377.6
 98.242  -389.4  98.242  -427.8
 98.438  -428.1  98.438  -451.1
 98.633  -459.7  98.633  -479.9
 98.828  -480.9  98.828  -494.4
 99.023  -499.9  99.023  -499.9
 99.219  -499.9  99.219  -499.9
 99.414  -499.9  99.414  -499.9
 99.609  -499.9  99.609  -499.9
 99.805  -499.9  99.805  -483.9
100.000  -485.5 100.000  -462.6
100.195  -452.6 100.195  -421.1
100.391  -426.4 100.391  -389.3
100.586  -372.0 100.586  -328.9
100.781  -332.1 100.781  -284.3
100.977  -269.4 100.977  -213.2
101.172  -228.0 101.172  -172.0
101.367  -148.5 101.367   -93.0
101.562   -97.4 101.562   -43.1
101.758   -17.6 101.758    42.6
101.953    30.5 101.953    78.1
102.148   102.6 102.148   154.6
102.344   148.8 102.344   193.8
102.539   225.0 102.539   265.2
102.734   254.8 102.734   291.2
102.930   313.0 102.930   343.3
103.125   348.8 103.125   378.3
103.320   396.3 103.320   413.8
103.516   415.6 103.516   432.3
103.711   447.2 103.711   458.0
103.906   463.3 103.906   470.3
104.102   478.6 104.102   477.5
104.297   481.3 104.297   480.3
104.492   482.2 104.492   471.3
104.688   476.8 104.688   463.0
104.883   462.7 104.883   441.3
105.078   447.8 105.078   424.3
105.273   417.7 105.273   383.9
105.469   387.7 105.469   354.6
105.664   343.0 105.664   296.0
105.859   306.2 105.859   261.3
106.055   241.4 106.055   187.7
106.250   201.5 106.250   151.5
106.445   126.1 106.445    65.8
106.641    78.2 106.641    18.6
106.836    -4.0 106.836   -55.7
107.031   -37.2 107.031   -89.3
107.227  -119.8 107.227  -174.9
107.422  -156.4 107.422  -203.9
107.617  -229.0 107.617  -278.8
107.812  -276.5 107.812  -317.5
108.008  -337.2 108.008  -372.2
108.203  -367.1 108.203  -398.6
108.398  -416.7 108.398  -446.8
108.594  -447.2 108.594  -468.8
108.789  -474.7 108.789  -491.0
108.984  -495.2 108.984  -499.9
109.180  -499.9 109.180  -499.9
109.375  -499.9 109.375  -499.9
109.570  -499.9 109.570  -499.9
109.766  -499.9 109.766  -495.8
109.961  -489.1 109.961  -465.2
110.156  -467.3 110.156  -439.2
110.352  -429.4 110.352  -392.1
110.547  -398.7 110.547  -360.3
110.742  -350.6 110.742  -304.3
110.938  -304.8 110.938  -258.7
111.133  -247.7 111.133  -196.8
111.328  -204.0 111.328  -148.5
111.523  -120.8 111.523   -67.5
111.719   -71.5 111.719   -16.6
111.914    15.0 111.914    63.0
112.109    50.0 112.109    97.1
112.305   129.2 112.305   172.9
112.500   172.7 112.500   217.8
112.695   247.6 112.695   280.2
112.891   271.5 112.891   308.4
113.086   337.8 113.086   365.5
113.281   367.7 113.281   396.1
113.477   406.0 113.477   421.7
113.672   423.7 113.672   439.0
113.867   456.0 113.867   461.9
114.062   464.6 114.062   469.6
114.258   479.4 114.258   479.1
114.453   481.0 114.453   475.8
114.648   481.2 114.648   468.9
114.844   471.8 114.844   456.5
115.039   457.6 115.039   433.3
115.234   437.3 115.234   411.5
115.430   410.1 115.430   372.4
115.625   379.1 115.625   341.2
115.820   338.9 115.820   291.7
116.016   293.2 116.016   247.1
116.211   238.3 116.211   184.1
116.406   186.9 116.406   132.9
116.602   121.7 116.602    65.5
116.797    76.5 116.797    19.6
116.992     4.8 116.992   -47.2
117.188   -38.6 117.188   -94.4
117.383  -121.4 117.383  -180.8
117.578  -166.3 117.578  -213.9
117.773  -245.4 117.773  -293.6
117.969  -308.5 117.969  -347.0
118.164  -349.2 118.164  -390.9
118.359  -376.5 118.359  -409.3
118.555  -413.7 118.555  -448.6
118.750  -447.5 118.750  -471.5
118.945  -485.7 118.945  -499.9
119.141  -497.8 119.141  -499.9
119.336  -499.9 119.336  -499.9
119.531  -499.9 119.531  -499.9
119.727  -499.9 119.727  -492.1
119.922  -499.9 119.922  -488.0
120.117  -478.1 120.117  -452.7
120.312  -459.1 120.312  -425.8
120.508  -415.4 120.508  -377.6
120.703  -392.9 120.703  -350.2
120.898  -336.6 120.898  -290.9
121.094  -300.4 121.094  -247.0
121.289  -227.6 121.289  -169.2
121.484  -184.6 121.484  -129.9
121.680   -98.9 121.680   -47.8
121.875   -51.7 121.875     4.9
122.070    39.5 122.070    90.7
122.266    71.5 122.266   116.0
122.461   145.1 122.461   192.8
122.656   166.7 122.656   208.5
122.852   248.9 122.852   281.5
123.047   280.3 123.047   309.9
123.242   346.5 123.242   372.3
123.438   367.6 123.438   389.0
123.633   408.7 123.633   427.2
123.828   429.8 123.828   444.0
124.023   459.5 124.023   465.8
124.219   466.6 124.219   472.3
124.414   480.3 124.414   477.6
124.609   483.6 124.609   478.7
124.805   477.4 124.805   463.8
125.000   473.7 125.000   457.1
125.195   455.5 125.195   431.4
125.391   436.6 125.391   408.5
125.586   400.2 125.586   362.4
125.781   380.7 125.781   340.1
125.977   320.6 125.977   273.2
126.172   293.7 126.172   241.4
126.367   212.9 126.367   162.6
126.562   179.5 126.562   131.7
126.758   104.0 126.758    45.5
126.953    48.3 126.953    -8.3
127.148   -27.6 127.148   -82.6
127.344   -69.3 127.344  -120.8
127.539  -150.6 127.539  -204.5
127.734  -199.2 127.734  -243.5
127.930  -261.7 127.930  -312.3
128.125  -297.8 128.125  -330.3
128.320  -364.0 128.320  -398.1
128.516  -388.4 128.516  -420.2
128.711  -436.7 128.711  -464.6
128.906  -456.4 128.906  -473.2
129.102  -482.4 129.102  -499.9
129.297  -498.8 129.297  -499.9
129.492  -499.9 129.492  -499.9
129.688  -499.9 129.688  -499.9
129.883  -499.9 129.883  -498.5
130.078  -499.9 130.078  -479.4
130.273  -472.4 130.273  -442.8
130.469  -452.6 130.469  -416.7
130.664  -406.1 130.664  -365.8
130.859  -367.9 130.859  -324.8
131.055  -300.7 131.055  -251.3
131.250  -274.5 131.250  -222.9
131.445  -192.3 131.445  -141.1
131.641  -143.9 131.641   -88.9
131.836   -64.1 131.836   -10.2
132.031   -28.8 132.031    22.3
132.227    58.0 132.227   114.3
132.422   111.7 132.422   156.3
132.617   179.5 132.617   224.6
132.812   207.1 132.812   251.9
133.008   279.0 133.008   313.9
133.203   316.5 133.203   344.4
133.398   376.5 133.398   398.5
133.594   389.2 133.594   409.2
133.789   429.6 133.789   442.2
133.984   447.4 133.984   456.6
134.180   467.9 134.180   471.7
134.375   476.2 134.375   476.3
134.570   481.7 134.570   474.9
134.766   483.1 134.766   473.4
134.961   471.9 134.961   453.4
135.156   465.0 135.156   444.2
135.352   437.1 135.352   405.5
135.547   418.3 135.547   384.8
135.742   371.4 135.742   329.7
135.938   342.9 135.938   299.3
136.133   281.8 136.133   229.7
136.328   240.5 136.328   188.0
136.523   157.1 136.523    97.2
136.719   120.7 136.719    67.4
136.914    48.1 136.914    -9.7
137.109    -0.2 137.109   -52.8
137.305   -92.4 137.305  -148.6
137.500  -121.1 137.500  -173.0
137.695  -191.3 137.695  -243.1
137.891  -233.7 137.891  -279.8
138.086  -310.0 138.086  -352.2
138.281  -329.6 138.281  -367.1
138.477  -392.8 138.477  -430.5
138.672  -424.1 138.672  -444.4
138.867  -467.0 138.867  -486.1
139.062  -475.6 139.062  -492.9
139.258  -499.9 139.258  -499.9
139.453  -499.9 139.453  -499.9
139.648  -499.9 139.648  -499.9
139.844  -499.9 139.844  -499.9
140.039  -499.9 140.039  -485.2
140.234  -490.1 140.234  -470.0
140.430  -455.7 140.430  -421.5
140.625  -429.6 140.625  -391.3
140.820  -374.9 140.820  -333.7
141.016  -339.1 141.016  -296.6
141.211  -269.3 141.211  -220.5
141.406  -237.3 141.406  -180.7
141.602  -160.0 141.602  -104.8
141.797  -119.4 141.797   -58.1
141.992   -31.4 141.992    23.3
142.188    17.0 142.188    64.8
142.383   100.6 142.383   153.3
142.578   149.5 142.578   197.2
142.773   221.4 142.773   261.1
142.969   253.6 142.969   290.1
143.164   311.6 143.164   344.9
143.359   343.3 143.359   369.9
143.555   389.7 143.555   412.2
143.750   412.9 143.750   429.8
143.945   445.0 143.945   454.5
144.141   457.9 144.141   464.1
144.336   477.1 144.336   477.3
144.531   482.5 144.531   479.6
144.727   482.6 144.727   471.6
144.922   479.2 144.922   465.4
145.117   460.9 145.117   437.5
145.312   450.0 145.312   426.3
145.508   415.7 145.508   379.2
145.703   397.5 145.703   362.0
145.898   333.2 145.898   289.0
146.094   312.6 146.094   266.8
146.289   244.2 146.289   191.9
146.484   204.0 146.484   146.3
146.680   120.8 146.680    68.6
146.875    81.4 146.875    31.1
147.070    -0.5 147.070   -59.1
147.266   -46.0 147.266   -97.7
147.461  -129.4 147.461  -176.3
147.656  -161.1 147.656  -211.9
147.852  -241.8 147.852  -288.7
148.047  -276.7 148.047  -316.6
148.242  -339.0 148.242  -380.0
148.438  -369.1 148.438  -402.3
148.633  -426.8 148.633  -450.2
148.828  -441.6 148.828  -464.9
149.023  -484.5 149.023  -499.8
149.219  -490.4 149.219  -499.9
149.414  -499.9 149.414  -499.9
149.609  -499.9 149.609  -499.9
149.805  -499.9 149.805  -498.6
150.000  -499.9 150.000  -488.6
150.195  -482.0 150.195  -453.9
150.391  -462.0 150.391  -431.7
150.586  -413.2 150.586  -375.1
150.781  -387.6 150.781  -346.4
150.977  -334.6 150.977  -285.5
151.172  -293.1 151.172  -240.0
151.367  -209.6 151.367  -159.3
151.562  -177.0 151.562  -120.9
151.758   -94.2 151.758   -37.0
151.953   -44.0 151.953    14.1
152.148    41.2 152.148    87.2
152.344    75.5 152.344   121.1
152.539   153.0 152.539   193.9
152.734   195.1 152.734   233.2
152.930   258.8 152.930   298.3
153.125   289.5 153.125   325.1
153.320   348.5 153.320   373.9
153.516   377.1 153.516   401.3
153.711   421.6 153.711   440.2
153.906   433.7 153.906   446.7
154.102   463.8 154.102   469.0
154.297   471.1 154.297   475.2
154.492   482.7 154.492   479.6
154.688   484.3 154.688   477.4
154.883   478.3 154.883   462.1
155.078   470.8 155.078   451.5
155.273   443.8 155.273   416.7
155.469   430.0 155.469   399.8
155.664   384.9 155.664   347.0
155.859   362.8 155.859   321.2
156.055   300.4 156.055   248.2
156.250   269.2 156.250   222.2
156.445   195.6 156.445   145.4
156.641   152.7 156.641    97.9
156.836    69.7 156.836    15.7
157.031    40.6 157.031   -16.1
157.227   -44.3 157.227  -100.4
157.422   -91.9 157.422  -142.2
157.617  -180.0 157.617  -229.1
157.812  -206.0 157.812  -254.2
158.008  -277.4 158.008  -321.0
158.203  -314.4 158.203  -354.0
158.398  -382.0 158.398  -416.5
158.594  -402.6 158.594  -430.1
158.789  -444.9 158.789  -468.6
158.984  -466.4 158.984  -483.1
159.180  -499.9 159.180  -499.9
159.375  -499.9 159.375  -499.9
159.570  -499.9 159.570  -499.9
159.766  -499.9 159.766  -499.9
159.961  -499.9 159.961  -491.8
160.156  -496.0 160.156  -473.4
160.352  -465.0 160.352  -433.7
160.547  -441.5 160.547  -407.3
160.742  -393.1 160.742  -353.3
160.938  -360.8 160.938  -316.6
161.133  -296.0 161.133  -247.5
161.328  -258.5 161.328  -203.5
161.523  -181.9 161.523  -128.2
161.719  -142.3 161.719   -89.7
161.914   -52.6 161.914     6.2
162.109    -2.2 162.109    44.4
162.305    73.1 162.305   128.3
162.500   116.7 162.500   164.1
162.695   192.1 162.695   233.8
162.891   232.3 162.891   268.6
163.086   293.3 163.086   327.5
163.281   326.3 163.281   353.6
163.477   377.1 163.477   401.2
163.672   404.1 163.672   424.8
163.867   438.9 163.867   452.1
164.062   452.7 164.062   460.4
164.258   472.7 164.258   474.5
164.453   479.6 164.453   478.0
164.648   483.9 164.648   475.6
164.844   481.2 164.844   471.0
165.039   468.7 165.039   449.5
165.234   458.0 165.234   438.1
165.430   425.4 165.430   392.4
165.625   410.4 165.625   377.6
165.820   360.7 165.820   317.8
166.016   327.7 166.016   283.5
166.211   265.6 166.211   210.2
166.406   226.6 166.406   173.4
166.602   151.3 166.602    92.1
166.797   102.3 166.797    49.1
166.992    31.3 166.992   -29.1
167.188   -12.1 167.188   -64.2
167.383  -101.1 167.383  -156.9
167.578  -144.6 167.578  -191.0
167.773  -225.2 167.773  -271.8
167.969  -250.1 167.969  -293.1
168.164  -324.6 168.164  -363.6
168.359  -354.3 168.359  -383.3
168.555  -415.5 168.555  -440.4
168.750  -429.2 168.750  -452.6
168.945  -465.4 168.945  -483.1
169.141  -485.8 169.141  -496.2
169.336  -499.9 169.336  -499.9
169.531  -499.9 169.531  -499.9
169.727  -499.9 169.727  -499.9
169.922  -499.9 169.922  -497.5
170.117  -496.7 170.117  -474.2
170.312  -483.2 170.312  -458.3
170.508  -445.3 170.508  -410.3
170.703  -412.0 170.703  -371.9
170.898  -351.0 170.898  -304.2
171.094  -325.5 171.094  -275.3
171.289  -252.8 171.289  -201.7
171.484  -202.0 171.484  -150.7
171.680  -125.0 171.680   -70.2
171.875   -85.4 171.875   -30.3
172.070     0.7 172.070    58.4
172.266    47.5 172.266    98.8
172.461   134.6 172.461   185.4
172.656   158.2 172.656   205.2
172.852   229.5 172.852   272.5
173.047   275.8 173.047   309.1
173.242   332.7 173.242   361.2
173.438   354.2 173.438   382.9
173.633   404.0 173.633   423.5
173.828   427.6 173.828   446.0
174.023   455.2 174.023   462.2
174.219   468.3 174.219   470.2
174.414   478.6 174.414   478.6
174.609   483.2 174.609   477.9
174.805   481.8 174.805   468.1
175.000   474.8 175.000   458.8
175.195   455.2 175.195   428.7
175.391   440.4 175.391   413.4
175.586   402.6 175.586   365.3
175.781   385.2 175.781   348.4
175.977   322.6 175.977   272.1
176.172   289.1 176.172   237.0
176.367   211.3 176.367   154.3
176.562   189.8 176.562   135.5
176.758   100.7 176.758    46.9
176.953    47.2 176.953   -10.6
177.148   -34.1 177.148   -91.8
177.344   -68.0 177.344  -121.6
177.539  -148.7 177.539  -206.7
177.734  -189.5 177.734  -239.2
177.930  -260.9 177.930  -306.4
178.125  -289.7 178.125  -331.7
178.320  -360.5 178.320  -394.3
178.516  -395.4 178.516  -425.4
178.711  -441.7 178.711  -464.3
178.906  -458.3 178.906  -477.7
179.102  -489.3 179.102  -499.9
179.297  -499.9 179.297  -499.9
179.492  -499.9 179.492  -499.9
179.688  -499.9 179.688  -499.9
179.883  -499.9 179.883  -499.4
180.078  -499.9 180.078  -482.8
180.273  -471.9 180.273  -444.0
180.469  -452.9 180.469  -422.3
180.664  -406.4 180.664  -371.0
180.859  -371.4 180.859  -330.6
181.055  -306.6 181.055  -252.2
181.250  -276.9 181.250  -223.3
181.445  -188.5 181.445  -136.3
181.641  -149.2 181.641   -92.7
181.836   -62.0 181.836    -8.5
182.031   -28.1 182.031    19.8
182.227    54.0 182.227   105.2
182.422    96.3 182.422   141.9
182.617   187.8 182.617   230.0
182.812   217.7 182.812   256.8
183.008   275.4 183.008   308.9
183.203   318.1 183.203   347.5
183.398   369.1 183.398   394.9
183.594   386.0 183.594   407.5
183.789   426.5 183.789   439.5
183.984   442.6 183.984   452.8
184.180   466.9 184.180   470.3
184.375   476.6 184.375   478.3
184.570   482.3 184.570   477.2
184.766   485.5 184.766   475.0
184.961   474.6 184.961   454.5
185.156   466.5 185.156   447.8
185.352   437.7 185.352   407.8
185.547   423.6 185.547   389.9
185.742   374.7 185.742   335.9
185.938   350.9 185.938   306.6
186.133   289.2 186.133   239.2
186.328   241.6 186.328   189.2
186.523   165.9 186.523   113.5
186.719   137.2 186.719    87.0
186.914    57.5 186.914    -4.1
187.109     2.7 187.109   -53.1
187.305   -79.3 187.305  -134.1
187.500  -117.9 187.500  -172.2
187.695  -192.4 187.695  -244.9
187.891  -233.9 187.891  -275.8
188.086  -307.5 188.086  -355.0
188.281  -339.2 188.281  -378.9
188.477  -394.9 188.477  -428.6
188.672  -417.0 188.672  -445.3
188.867  -464.4 188.867  -481.8
189.062  -475.6 189.062  -490.4
189.258  -499.9 189.258  -499.9
189.453  -499.9 189.453  -499.9
189.648  -499.9 189.648  -499.9
189.844  -499.9 189.844  -499.9
190.039  -499.9 190.039  -482.3
190.234  -488.9 190.234  -464.9
190.430  -453.3 190.430  -422.7
190.625  -428.8 190.625  -395.7
190.820  -374.3 190.820  -331.4
191.016  -335.1 191.016  -288.1
191.211  -261.1 191.211  -212.3
191.406  -231.6 191.406  -179.6
191.602  -146.6 191.602   -91.4
191.797  -105.3 191.797   -50.0
191.992    -8.6 191.992    41.7
192.188    19.0 192.188    69.0
192.383    98.6 192.383   149.8
192.578   145.6 192.578   194.3
192.773   221.1 192.773   262.0
192.969   253.7 192.969   289.4
193.164   318.8 193.164   351.3
193.359   345.8 193.359   370.7
